847 2895
281 508 353
465 765 712
731 834 911
500 150 514
3 834 755
93 310 894
772 413 227
389 246 834
300 191 946
345 329 46
185 85 43
707 586 990
747 764 456
66 562 760
584 845 167
648 431 460
103 464 805
660 82 149
69 758 206
355 454 398
378 737 27
418 358 435
84 63 995
14 216 442
526 752 462
768 628 553
148 683 729
84 614 797
38 43 611
224 244 558
808 232 490
503 24 480
559 511 219
595 775 604
190 570 323
492 363 26
348 388 280
653 690 197
110 590 779
784 476 212
445 693 407
775 358 422
393 555 420
823 197 776
396 240 619
118 651 386
816 178 93
804 457 6
151 44 881
784 175 392
5 664 89
299 267 831
354 209 184
513 110 911
830 455 36
54 142 221
365 82 909
407 205 841
478 279 735
595 840 680
46 395 31
403 386 702
271 611 726
108 711 252
719 741 162
39 823 921
523 225 784
514 111 803
95 319 140
545 627 5
104 720 794
228 8 177
593 584 673
342 397 224
696 500 145
706 776 411
572 575 328
549 92 315
33 92 969
494 50 971
87 454 925
127 154 804
707 352 369
428 235 14
794 764 781
99 693 417
309 458 501
335 59 365
585 185 741
111 207 120
751 283 117
372 537 152
177 642 209
563 192 25
473 231 652
514 730 465
363 451 992
557 798 80
342 705 827
399 219 53
489 164 859
589 260 670
395 244 269
746 18 780
554 322 725
208 300 647
672 473 315
469 487 68
454 737 869
104 316 195
383 410 903
287 615 390
119 625 661
462 716 199
423 555 328
478 45 661
239 73 38
305 236 545
423 669 776
484 549 885
33 226 578
703 130 398
220 258 834
577 484 686
130 175 948
241 105 627
496 170 214
764 770 19
762 819 101
564 599 361
609 22 473
24 122 142
197 407 145
252 96 215
447 694 232
576 173 939
816 212 822
817 205 536
549 548 112
741 101 68
760 748 818
84 842 973
617 396 660
438 567 666
828 505 576
642 581 904
495 740 953
484 560 309
709 221 786
122 16 787
40 330 772
627 14 354
732 333 163
571 647 348
136 326 624
159 313 919
92 202 246
591 225 457
621 761 324
270 271 803
279 271 897
339 198 562
691 133 381
510 72 268
703 414 260
198 362 103
724 137 890
624 571 688
131 496 383
131 345 731
401 292 653
22 264 665
70 470 960
118 543 836
252 655 677
257 696 413
349 398 776
154 79 211
372 205 520
163 164 799
216 275 664
368 643 763
52 639 878
725 847 794
602 655 791
176 315 924
35 699 508
784 599 130
226 484 298
527 418 590
419 393 799
61 659 661
129 508 138
720 180 120
526 158 872
338 110 543
737 78 986
743 526 7
376 782 663
833 37 809
319 711 387
782 815 428
136 522 21
56 214 710
428 163 454
651 443 910
805 831 743
735 412 707
146 315 998
210 402 539
667 102 738
493 366 957
296 418 682
7 690 974
675 349 28
364 610 843
504 720 471
16 686 410
483 116 377
498 547 872
464 29 963
622 839 17
835 475 983
138 499 498
380 65 788
423 199 962
661 836 363
710 175 565
390 61 635
126 48 106
726 565 185
450 552 400
377 580 869
141 291 821
719 34 305
97 6 912
533 590 340
281 565 895
202 281 374
135 52 558
799 773 402
559 320 655
714 259 982
108 45 553
659 41 439
6 645 352
726 520 608
153 365 517
388 365 277
566 727 199
545 607 897
457 437 236
315 732 187
592 328 705
672 660 455
286 437 949
382 173 20
683 456 703
362 513 240
629 547 515
756 104 607
793 345 306
832 54 122
180 24 591
341 338 78
238 57 619
399 789 263
209 787 632
531 603 271
24 156 191
722 419 78
664 790 661
713 799 476
250 176 713
14 845 996
747 282 703
564 389 875
204 504 996
629 532 62
738 89 469
59 484 954
523 11 437
98 511 281
367 605 160
144 703 520
132 175 425
173 661 611
701 118 652
426 140 137
668 57 355
157 81 296
239 621 797
572 702 202
380 660 37
750 548 645
610 396 836
105 298 779
6 9 828
573 123 811
341 537 91
158 772 193
426 350 460
274 202 721
496 138 918
731 202 275
711 451 821
445 90 253
763 426 514
119 399 7
474 458 914
484 215 405
8 134 458
767 81 497
200 178 840
612 560 884
601 473 60
561 701 719
785 827 734
166 215 380
401 683 571
259 718 235
149 533 818
593 645 6
754 72 301
843 324 147
397 461 745
825 136 713
386 716 391
170 524 946
184 300 914
579 609 771
376 759 9
569 10 239
108 646 728
496 201 131
841 310 752
376 245 377
480 617 674
478 306 993
753 8 745
394 200 235
494 198 167
753 682 336
260 820 410
815 441 305
167 644 512
102 647 410
230 597 755
180 795 778
328 312 364
651 498 435
23 831 513
691 337 890
82 727 611
508 290 288
659 710 677
747 51 50
51 571 313
500 209 907
618 432 139
500 518 402
127 527 760
399 663 290
471 804 999
295 784 200
514 658 553
154 746 779
146 387 640
210 507 229
208 814 186
657 237 563
378 99 419
841 493 355
625 648 323
368 183 849
438 221 347
594 600 929
715 721 807
666 254 857
3 719 398
469 662 602
100 298 306
281 715 822
361 474 576
25 496 928
365 96 446
70 154 342
476 381 982
498 61 927
803 456 197
200 17 867
657 406 573
774 614 287
48 175 179
197 713 106
623 308 44
414 282 84
736 677 666
170 109 7
379 112 108
585 93 230
196 523 654
513 14 570
745 694 446
783 554 255
731 401 972
742 695 225
638 657 710
752 736 658
347 243 261
381 531 648
588 102 691
461 515 282
492 727 876
432 151 59
652 403 301
668 495 253
506 285 108
146 581 993
288 509 230
245 119 614
410 261 625
610 204 921
664 443 764
655 606 475
546 525 329
110 819 832
638 506 139
623 256 812
513 427 786
263 714 717
180 332 565
553 69 266
473 142 720
276 506 786
526 94 953
329 22 925
685 671 239
697 378 767
833 482 310
74 42 887
459 226 96
114 177 259
263 573 379
189 119 370
747 604 540
694 688 237
389 709 822
507 836 834
639 646 133
687 842 461
815 288 222
652 332 7
768 496 353
660 750 348
712 155 888
289 76 998
620 420 952
438 228 739
291 627 380
58 658 718
460 566 344
