{Litoria_limosa, Mareca_brandtii} {Acanthis_arcticus, Androctonus_uluguruensis}
{Litoria_limosa, Monodon_nebrius} {Androctonus_uluguruensis, Callipogon_dorsalis}
{Litoria_limosa, Monodon_nebrius} {Androctonus_uluguruensis, Ceratophrys_coturnix}
{Litoria_limosa, Monodon_nebrius} {Androctonus_uluguruensis, Leptopelis_bicinctores}
{Litoria_limosa, Monodon_nebrius} {Androctonus_uluguruensis, Mylopharyngodon_madagascariensis}
{Litoria_limosa, Monodon_nebrius} {Androctonus_uluguruensis, Procellaria_docilis}
{Litoria_limosa, Monodon_nebrius} {Anodonta_erythropus, Caiman_uncia}
{Litoria_limosa, Monodon_nebrius} {Anodonta_erythropus, Callipogon_dorsalis}
{Litoria_limosa, Monodon_nebrius} {Anodonta_erythropus, Ceratophrys_coturnix}
{Litoria_limosa, Monodon_nebrius} {Anodonta_erythropus, Leptopelis_bicinctores}
{Litoria_limosa, Monodon_nebrius} {Anodonta_erythropus, Mylopharyngodon_madagascariensis}
{Litoria_limosa, Monodon_nebrius} {Anodonta_erythropus, Procellaria_docilis}
{Litoria_limosa, Monodon_nebrius} {Caiman_uncia, Callipogon_dorsalis}
{Litoria_limosa, Monodon_nebrius} {Caiman_uncia, Ceratophrys_coturnix}
{Litoria_limosa, Monodon_nebrius} {Caiman_uncia, Leptopelis_bicinctores}
{Litoria_limosa, Monodon_nebrius} {Caiman_uncia, Mylopharyngodon_madagascariensis}
{Litoria_limosa, Monodon_nebrius} {Caiman_uncia, Procellaria_docilis}
{Litoria_limosa, Monodon_nebrius} {Callipogon_dorsalis, Ceratophrys_coturnix}
{Litoria_limosa, Monodon_nebrius} {Callipogon_dorsalis, Leptopelis_bicinctores}
{Litoria_limosa, Monodon_nebrius} {Callipogon_dorsalis, Mylopharyngodon_madagascariensis}
{Litoria_limosa, Monodon_nebrius} {Callipogon_dorsalis, Procellaria_docilis}
{Litoria_limosa, Monodon_nebrius} {Ceratophrys_coturnix, Leptopelis_bicinctores}
{Litoria_limosa, Monodon_nebrius} {Ceratophrys_coturnix, Mylopharyngodon_madagascariensis}
{Litoria_limosa, Monodon_nebrius} {Ceratophrys_coturnix, Procellaria_docilis}
{Litoria_limosa, Monodon_nebrius} {Leptopelis_bicinctores, Mylopharyngodon_madagascariensis}
{Litoria_limosa, Monodon_nebrius} {Leptopelis_bicinctores, Procellaria_docilis}
{Litoria_limosa, Monodon_nebrius} {Mylopharyngodon_madagascariensis, Procellaria_docilis}
{Mareca_brandtii, Monodon_nebrius} {Acanthis_arcticus, Androctonus_uluguruensis}
{Mareca_brandtii, Monodon_nebrius} {Acanthis_arcticus, Anodonta_erythropus}
{Mareca_brandtii, Monodon_nebrius} {Acanthis_arcticus, Caiman_uncia}
{Mareca_brandtii, Monodon_nebrius} {Acanthis_arcticus, Callipogon_dorsalis}
{Mareca_brandtii, Monodon_nebrius} {Acanthis_arcticus, Ceratophrys_coturnix}
{Mareca_brandtii, Monodon_nebrius} {Acanthis_arcticus, Leptopelis_bicinctores}
{Mareca_brandtii, Monodon_nebrius} {Acanthis_arcticus, Mylopharyngodon_madagascariensis}
{Mareca_brandtii, Monodon_nebrius} {Acanthis_arcticus, Procellaria_docilis}
{Mareca_brandtii, Monodon_nebrius} {Androctonus_uluguruensis, Anodonta_erythropus}
{Mareca_brandtii, Monodon_nebrius} {Androctonus_uluguruensis, Caiman_uncia}
{Mareca_brandtii, Monodon_nebrius} {Androctonus_uluguruensis, Callipogon_dorsalis}
{Mareca_brandtii, Monodon_nebrius} {Androctonus_uluguruensis, Ceratophrys_coturnix}
{Mareca_brandtii, Monodon_nebrius} {Androctonus_uluguruensis, Leptopelis_bicinctores}
{Mareca_brandtii, Monodon_nebrius} {Androctonus_uluguruensis, Mylopharyngodon_madagascariensis}
{Mareca_brandtii, Monodon_nebrius} {Androctonus_uluguruensis, Procellaria_docilis}
{Mareca_brandtii, Monodon_nebrius} {Anodonta_erythropus, Caiman_uncia}
{Mareca_brandtii, Monodon_nebrius} {Anodonta_erythropus, Callipogon_dorsalis}
{Mareca_brandtii, Monodon_nebrius} {Anodonta_erythropus, Ceratophrys_coturnix}
{Mareca_brandtii, Monodon_nebrius} {Anodonta_erythropus, Leptopelis_bicinctores}
{Mareca_brandtii, Monodon_nebrius} {Anodonta_erythropus, Mylopharyngodon_madagascariensis}
{Mareca_brandtii, Monodon_nebrius} {Anodonta_erythropus, Procellaria_docilis}
{Mareca_brandtii, Monodon_nebrius} {Caiman_uncia, Callipogon_dorsalis}
{Mareca_brandtii, Monodon_nebrius} {Caiman_uncia, Ceratophrys_coturnix}
{Mareca_brandtii, Monodon_nebrius} {Caiman_uncia, Leptopelis_bicinctores}
{Mareca_brandtii, Monodon_nebrius} {Caiman_uncia, Mylopharyngodon_madagascariensis}
{Mareca_brandtii, Monodon_nebrius} {Caiman_uncia, Procellaria_docilis}
{Mareca_brandtii, Monodon_nebrius} {Callipogon_dorsalis, Ceratophrys_coturnix}
{Mareca_brandtii, Monodon_nebrius} {Callipogon_dorsalis, Leptopelis_bicinctores}
{Mareca_brandtii, Monodon_nebrius} {Callipogon_dorsalis, Mylopharyngodon_madagascariensis}
{Mareca_brandtii, Monodon_nebrius} {Callipogon_dorsalis, Procellaria_docilis}
{Mareca_brandtii, Monodon_nebrius} {Ceratophrys_coturnix, Leptopelis_bicinctores}
{Mareca_brandtii, Monodon_nebrius} {Ceratophrys_coturnix, Mylopharyngodon_madagascariensis}
{Mareca_brandtii, Monodon_nebrius} {Ceratophrys_coturnix, Procellaria_docilis}
{Mareca_brandtii, Monodon_nebrius} {Leptopelis_bicinctores, Mylopharyngodon_madagascariensis}
{Mareca_brandtii, Monodon_nebrius} {Leptopelis_bicinctores, Procellaria_docilis}
{Mareca_brandtii, Monodon_nebrius} {Mylopharyngodon_madagascariensis, Procellaria_docilis}
{Litoria_limosa, Lutra_vermiculatus} {Ceratophrys_coturnix, Holaspis_leucomystax}
{Acanthis_arcticus, Anodonta_erythropus} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Acanthis_arcticus, Caiman_uncia} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Acanthis_arcticus, Callipogon_dorsalis} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Acanthis_arcticus, Ceratophrys_coturnix} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Acanthis_arcticus, Leptopelis_bicinctores} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Acanthis_arcticus, Litoria_limosa} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Acanthis_arcticus, Lutra_vermiculatus} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Acanthis_arcticus, Mareca_brandtii} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Acanthis_arcticus, Totanus_chrysargos} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Anodonta_erythropus, Caiman_uncia} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Anodonta_erythropus, Callipogon_dorsalis} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Anodonta_erythropus, Ceratophrys_coturnix} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Anodonta_erythropus, Leptopelis_bicinctores} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Anodonta_erythropus, Litoria_limosa} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Anodonta_erythropus, Lutra_vermiculatus} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Anodonta_erythropus, Mareca_brandtii} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Anodonta_erythropus, Totanus_chrysargos} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Caiman_uncia, Callipogon_dorsalis} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Caiman_uncia, Ceratophrys_coturnix} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Caiman_uncia, Leptopelis_bicinctores} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Caiman_uncia, Litoria_limosa} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Caiman_uncia, Lutra_vermiculatus} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Caiman_uncia, Mareca_brandtii} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Caiman_uncia, Totanus_chrysargos} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Callipogon_dorsalis, Ceratophrys_coturnix} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Callipogon_dorsalis, Leptopelis_bicinctores} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Callipogon_dorsalis, Litoria_limosa} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Callipogon_dorsalis, Lutra_vermiculatus} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Callipogon_dorsalis, Mareca_brandtii} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Callipogon_dorsalis, Totanus_chrysargos} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Ceratophrys_coturnix, Leptopelis_bicinctores} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Ceratophrys_coturnix, Litoria_limosa} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Ceratophrys_coturnix, Lutra_vermiculatus} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Ceratophrys_coturnix, Mareca_brandtii} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Ceratophrys_coturnix, Totanus_chrysargos} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Leptopelis_bicinctores, Litoria_limosa} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Leptopelis_bicinctores, Lutra_vermiculatus} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Leptopelis_bicinctores, Mareca_brandtii} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Leptopelis_bicinctores, Totanus_chrysargos} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Litoria_limosa, Lutra_vermiculatus} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Litoria_limosa, Mareca_brandtii} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Litoria_limosa, Totanus_chrysargos} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Lutra_vermiculatus, Mareca_brandtii} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Lutra_vermiculatus, Totanus_chrysargos} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Mareca_brandtii, Totanus_chrysargos} {Bombyx_hendersoni, Mylopharyngodon_madagascariensis}
{Lutra_vermiculatus, Monodon_nebrius} {Holaspis_leucomystax, Leptopelis_bicinctores}
{Ceratophrys_coturnix, Procellaria_docilis} {Acanthis_arcticus, Caiman_uncia}
{Ceratophrys_coturnix, Procellaria_docilis} {Acanthis_arcticus, Callipogon_dorsalis}
{Ceratophrys_coturnix, Procellaria_docilis} {Acanthis_arcticus, Holaspis_leucomystax}
{Ceratophrys_coturnix, Procellaria_docilis} {Acanthis_arcticus, Leptopelis_bicinctores}
{Ceratophrys_coturnix, Procellaria_docilis} {Acanthis_arcticus, Litoria_limosa}
{Ceratophrys_coturnix, Procellaria_docilis} {Acanthis_arcticus, Lutra_vermiculatus}
{Ceratophrys_coturnix, Procellaria_docilis} {Acanthis_arcticus, Mareca_brandtii}
{Ceratophrys_coturnix, Procellaria_docilis} {Acanthis_arcticus, Monodon_nebrius}
{Ceratophrys_coturnix, Procellaria_docilis} {Acanthis_arcticus, Mylopharyngodon_madagascariensis}
{Ceratophrys_coturnix, Procellaria_docilis} {Acanthis_arcticus, Totanus_chrysargos}
{Ceratophrys_coturnix, Procellaria_docilis} {Caiman_uncia, Callipogon_dorsalis}
{Ceratophrys_coturnix, Procellaria_docilis} {Caiman_uncia, Holaspis_leucomystax}
{Ceratophrys_coturnix, Procellaria_docilis} {Caiman_uncia, Leptopelis_bicinctores}
{Ceratophrys_coturnix, Procellaria_docilis} {Caiman_uncia, Litoria_limosa}
{Ceratophrys_coturnix, Procellaria_docilis} {Caiman_uncia, Lutra_vermiculatus}
{Ceratophrys_coturnix, Procellaria_docilis} {Caiman_uncia, Mareca_brandtii}
{Ceratophrys_coturnix, Procellaria_docilis} {Caiman_uncia, Monodon_nebrius}
{Ceratophrys_coturnix, Procellaria_docilis} {Caiman_uncia, Mylopharyngodon_madagascariensis}
{Ceratophrys_coturnix, Procellaria_docilis} {Caiman_uncia, Totanus_chrysargos}
{Ceratophrys_coturnix, Procellaria_docilis} {Callipogon_dorsalis, Holaspis_leucomystax}
{Ceratophrys_coturnix, Procellaria_docilis} {Callipogon_dorsalis, Leptopelis_bicinctores}
{Ceratophrys_coturnix, Procellaria_docilis} {Callipogon_dorsalis, Litoria_limosa}
{Ceratophrys_coturnix, Procellaria_docilis} {Callipogon_dorsalis, Lutra_vermiculatus}
{Ceratophrys_coturnix, Procellaria_docilis} {Callipogon_dorsalis, Mareca_brandtii}
{Ceratophrys_coturnix, Procellaria_docilis} {Callipogon_dorsalis, Monodon_nebrius}
{Ceratophrys_coturnix, Procellaria_docilis} {Callipogon_dorsalis, Mylopharyngodon_madagascariensis}
{Ceratophrys_coturnix, Procellaria_docilis} {Callipogon_dorsalis, Totanus_chrysargos}
{Ceratophrys_coturnix, Procellaria_docilis} {Holaspis_leucomystax, Leptopelis_bicinctores}
{Ceratophrys_coturnix, Procellaria_docilis} {Holaspis_leucomystax, Litoria_limosa}
{Ceratophrys_coturnix, Procellaria_docilis} {Holaspis_leucomystax, Lutra_vermiculatus}
{Ceratophrys_coturnix, Procellaria_docilis} {Holaspis_leucomystax, Mareca_brandtii}
{Ceratophrys_coturnix, Procellaria_docilis} {Holaspis_leucomystax, Monodon_nebrius}
{Ceratophrys_coturnix, Procellaria_docilis} {Holaspis_leucomystax, Mylopharyngodon_madagascariensis}
{Ceratophrys_coturnix, Procellaria_docilis} {Holaspis_leucomystax, Totanus_chrysargos}
{Ceratophrys_coturnix, Procellaria_docilis} {Leptopelis_bicinctores, Litoria_limosa}
{Ceratophrys_coturnix, Procellaria_docilis} {Leptopelis_bicinctores, Lutra_vermiculatus}
{Ceratophrys_coturnix, Procellaria_docilis} {Leptopelis_bicinctores, Mareca_brandtii}
{Ceratophrys_coturnix, Procellaria_docilis} {Leptopelis_bicinctores, Monodon_nebrius}
{Ceratophrys_coturnix, Procellaria_docilis} {Leptopelis_bicinctores, Mylopharyngodon_madagascariensis}
{Ceratophrys_coturnix, Procellaria_docilis} {Leptopelis_bicinctores, Totanus_chrysargos}
{Ceratophrys_coturnix, Procellaria_docilis} {Litoria_limosa, Lutra_vermiculatus}
{Ceratophrys_coturnix, Procellaria_docilis} {Litoria_limosa, Mylopharyngodon_madagascariensis}
{Ceratophrys_coturnix, Procellaria_docilis} {Litoria_limosa, Totanus_chrysargos}
{Ceratophrys_coturnix, Procellaria_docilis} {Lutra_vermiculatus, Mareca_brandtii}
{Ceratophrys_coturnix, Procellaria_docilis} {Lutra_vermiculatus, Monodon_nebrius}
{Ceratophrys_coturnix, Procellaria_docilis} {Lutra_vermiculatus, Mylopharyngodon_madagascariensis}
{Ceratophrys_coturnix, Procellaria_docilis} {Lutra_vermiculatus, Totanus_chrysargos}
{Ceratophrys_coturnix, Procellaria_docilis} {Mareca_brandtii, Mylopharyngodon_madagascariensis}
{Ceratophrys_coturnix, Procellaria_docilis} {Mareca_brandtii, Totanus_chrysargos}
{Ceratophrys_coturnix, Procellaria_docilis} {Monodon_nebrius, Mylopharyngodon_madagascariensis}
{Ceratophrys_coturnix, Procellaria_docilis} {Monodon_nebrius, Totanus_chrysargos}
{Ceratophrys_coturnix, Procellaria_docilis} {Mylopharyngodon_madagascariensis, Totanus_chrysargos}
{Callipogon_dorsalis, Monodon_nebrius} {Acanthis_arcticus, Androctonus_uluguruensis}
{Callipogon_dorsalis, Monodon_nebrius} {Acanthis_arcticus, Procellaria_docilis}
{Callipogon_dorsalis, Monodon_nebrius} {Androctonus_uluguruensis, Procellaria_docilis}
{Callipogon_dorsalis, Mylopharyngodon_madagascariensis} {Acanthis_arcticus, Androctonus_uluguruensis}
{Callipogon_dorsalis, Mylopharyngodon_madagascariensis} {Acanthis_arcticus, Procellaria_docilis}
{Callipogon_dorsalis, Mylopharyngodon_madagascariensis} {Androctonus_uluguruensis, Procellaria_docilis}
{Callipogon_dorsalis, Totanus_chrysargos} {Acanthis_arcticus, Androctonus_uluguruensis}
{Callipogon_dorsalis, Totanus_chrysargos} {Acanthis_arcticus, Procellaria_docilis}
{Callipogon_dorsalis, Totanus_chrysargos} {Androctonus_uluguruensis, Procellaria_docilis}
{Monodon_nebrius, Mylopharyngodon_madagascariensis} {Acanthis_arcticus, Androctonus_uluguruensis}
{Monodon_nebrius, Mylopharyngodon_madagascariensis} {Acanthis_arcticus, Procellaria_docilis}
{Monodon_nebrius, Mylopharyngodon_madagascariensis} {Androctonus_uluguruensis, Procellaria_docilis}
{Monodon_nebrius, Totanus_chrysargos} {Acanthis_arcticus, Androctonus_uluguruensis}
{Monodon_nebrius, Totanus_chrysargos} {Acanthis_arcticus, Procellaria_docilis}
{Monodon_nebrius, Totanus_chrysargos} {Androctonus_uluguruensis, Procellaria_docilis}
{Mylopharyngodon_madagascariensis, Totanus_chrysargos} {Acanthis_arcticus, Androctonus_uluguruensis}
{Mylopharyngodon_madagascariensis, Totanus_chrysargos} {Acanthis_arcticus, Procellaria_docilis}
{Mylopharyngodon_madagascariensis, Totanus_chrysargos} {Androctonus_uluguruensis, Procellaria_docilis}
{Acanthis_arcticus, Androctonus_uluguruensis} {Bombyx_hendersoni, Caiman_uncia}
{Acanthis_arcticus, Androctonus_uluguruensis} {Bombyx_hendersoni, Callipogon_dorsalis}
{Acanthis_arcticus, Androctonus_uluguruensis} {Bombyx_hendersoni, Litoria_limosa}
{Acanthis_arcticus, Androctonus_uluguruensis} {Bombyx_hendersoni, Procellaria_docilis}
{Acanthis_arcticus, Androctonus_uluguruensis} {Caiman_uncia, Callipogon_dorsalis}
{Acanthis_arcticus, Androctonus_uluguruensis} {Caiman_uncia, Litoria_limosa}
{Acanthis_arcticus, Androctonus_uluguruensis} {Caiman_uncia, Procellaria_docilis}
{Acanthis_arcticus, Androctonus_uluguruensis} {Callipogon_dorsalis, Litoria_limosa}
{Acanthis_arcticus, Androctonus_uluguruensis} {Callipogon_dorsalis, Procellaria_docilis}
{Acanthis_arcticus, Androctonus_uluguruensis} {Litoria_limosa, Procellaria_docilis}
